num,cit,via,lat,lon
Sezione n. 1,pisa, via della qualquonia 5 , 43.71275795 , 10.3948938182192
Sezione n. 2,pisa, via della qualquonia 5 , 43.71275795 , 10.3948938182192
Sezione n. 3,pisa, via della qualquonia 5 , 43.71275795 , 10.3948938182192
Sezione n. 4,pisa, via della qualquonia 5 , 43.71275795 , 10.3948938182192
Sezione n. 5,pisa, via pietro gori 4 , 43.7130642 , 10.402908
Sezione n. 6,pisa, via pietro gori 4 , 43.7130642 , 10.402908
Sezione n. 7,pisa, via pietro gori 4 , 43.7130642 , 10.402908
Sezione n. 8,pisa, via filippo corridoni 42 , 43.7088285 , 10.3993953
Sezione n. 9,pisa, via filippo corridoni 42 , 43.7088285 , 10.3993953
Sezione n. 10,pisa, via filippo corridoni 42 , 43.7088285 , 10.3993953
Sezione n. 11,pisa, via sant'agostino 4 , 43.6983694 , 10.395723
Sezione n. 12,pisa, via sant'agostino 4 , 43.6983694 , 10.395723
Sezione n. 13,pisa, via sant'agostino 4 , 43.6983694 , 10.395723
Sezione n. 14,pisa, via sant'agostino 4 , 43.6983694 , 10.395723
Sezione n. 15,pisa, via possenti 28 , 43.7031726 , 10.4067407
Sezione n. 16,pisa, via possenti 28 , 43.7031726 , 10.4067407
Sezione n. 17,pisa, via possenti 28 , 43.7031726 , 10.4067407
Sezione n. 18,pisa, via ettore socci 4 , 43.700855 , 10.4134933
Sezione n. 19,pisa, via ettore socci 4 , 43.700855 , 10.4134933
Sezione n. 20,pisa, via padre ximenes , 43.6936935 , 10.4313452
Sezione n. 21,pisa, via padre ximenes , 43.6936935 , 10.4313452
Sezione n. 22,pisa, via palazzi 21 coltano , 43.63948065 , 10.3944890486116
Sezione n. 23,pisa, via caprera 118 , 43.6949421 , 10.4485016
Sezione n. 24,pisa, via caprera 118 , 43.6949421 , 10.4485016
Sezione n. 25,pisa, via caprera 118 , 43.6949421 , 10.4485016
Sezione n. 26,pisa, via caprera 118 , 43.6949421 , 10.4485016
Sezione n. 27,pisa, via di parigi 1 , 43.7072344 , 10.424913
Sezione n. 28,pisa, via di parigi 1 , 43.7072344 , 10.424913
Sezione n. 29,pisa, via di parigi 1 , 43.7072344 , 10.424913
Sezione n. 30,pisa, via di parigi 1 , 43.7072344 , 10.424913
Sezione n. 31,pisa, via di parigi 1 , 43.7072344 , 10.424913
Sezione n. 32,pisa, via san michele degli scalzi 143 , 43.7066916 , 10.4182648
Sezione n. 33,pisa, via san michele degli scalzi 143 , 43.7066916 , 10.4182648
Sezione n. 34,pisa, via san michele degli scalzi 143 , 43.7066916 , 10.4182648
Sezione n. 35,pisa, via cisanello 6 , 43.7102538 , 10.4254777
Sezione n. 36,pisa, via cisanello 6 , 43.7102538 , 10.4254777
Sezione n. 37,pisa, via giuseppe garibaldi 194 , 43.71704215 , 10.4177850897015
Sezione n. 38,pisa, via giuseppe garibaldi 194 , 43.71704215 , 10.4177850897015
