num,lppg,cdpp,pd,rpp,pp,ucic,rifcom,m5s,si,lega,fi,fdi,avspc,avspp,lnp,pls,bxp,pxp,cxp,pc,psi,pnc,tot
1,46,14,97,17,7,38,11,21,8,97,27,24,24,14,2,0,2,0,0,0,0,47,496
2,23,27,73,11,5,33,9,36,8,84,24,14,27,12,4,1,3,0,0,0,3,15,412
3,21,17,89,6,4,24,3,9,6,90,21,15,14,6,0,4,0,0,0,2,1,40,372
4,22,18,82,6,3,34,6,32,16,97,19,18,16,8,2,1,0,0,0,1,6,24,411
5,17,17,145,17,3,50,11,33,13,85,27,20,21,10,5,1,0,0,4,3,4,24,510
6,28,19,116,13,0,33,8,36,5,97,14,11,7,7,2,0,1,1,0,0,1,28,427
7,33,9,111,17,3,30,19,33,11,123,26,18,25,6,3,4,2,0,3,0,1,22,499
8,15,20,107,24,6,30,4,34,12,102,20,17,17,9,3,3,1,0,1,1,1,17,444
9,14,13,99,17,3,30,13,49,5,121,6,20,22,2,3,4,0,0,1,5,6,13,446
10,9,10,64,9,3,15,11,36,9,70,7,8,33,7,0,3,1,0,0,1,1,17,314
11,10,17,102,15,3,20,9,42,12,103,12,7,7,11,2,4,0,0,0,0,5,34,415
12,9,11,105,12,1,26,14,46,2,119,7,6,15,8,1,0,0,0,0,1,6,30,419
13,15,7,105,18,0,26,9,52,4,140,8,13,14,13,5,5,2,0,0,2,5,49,492
14,6,7,56,15,2,6,2,59,2,95,10,22,14,8,2,4,3,2,2,0,3,43,363
15,27,20,134,9,5,31,15,71,10,143,15,24,29,16,6,0,1,0,3,2,1,34,596
16,22,11,97,2,6,9,5,53,5,96,12,6,20,8,0,0,1,0,0,1,1,19,374
17,11,5,91,4,5,16,11,29,8,117,13,13,24,8,0,1,0,0,1,0,0,40,397
18,10,11,70,6,6,15,7,67,2,108,9,15,18,9,3,1,0,1,2,1,1,10,372
19,13,9,181,23,1,16,13,72,10,191,9,30,18,11,5,1,8,1,3,3,2,32,652
20,8,12,139,32,8,16,10,48,12,149,18,48,13,5,5,2,1,0,0,1,2,32,561
21,5,13,157,25,1,7,11,82,18,175,24,30,13,3,0,0,3,2,6,3,4,28,610
22,3,9,87,6,0,4,3,19,1,55,7,4,5,0,0,1,0,0,0,1,3,7,215
23,14,15,130,24,2,16,9,78,5,152,7,24,23,6,2,2,1,0,1,2,2,25,540
24,21,15,164,12,4,19,3,47,3,173,22,18,11,13,7,1,10,1,3,1,3,17,568
